Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 11:47:28
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
19.686125	103.167740
19.711139	103.044667
19.736153	102.921594
19.761167	102.798521
19.786181	102.675448
19.811195	102.552375
19.836209	102.429302
19.861224	102.280703
19.886238	102.114559
19.911252	101.948415
19.936266	101.782271
19.961280	101.616127
19.986294	101.449983
20.011308	101.283839
20.036323	101.117695
20.061337	100.951551
20.086351	100.785406
20.111365	100.619502
20.136379	100.453759
20.161393	100.288016
20.186407	100.122273
20.211421	99.956530
20.236436	99.790787
20.261450	99.625044
20.286464	99.459301
20.311478	99.293558
20.336492	99.127815
20.361506	98.988838
20.386520	98.867415
20.411535	98.745991
20.436549	98.624568
20.461563	98.503144
20.486577	98.381721
20.511591	98.260297
20.536605	98.138874
20.561619	98.017450
20.586633	97.896027
20.611648	97.779100
20.636662	97.665054
20.661676	97.551007
20.686690	97.436961
20.711704	97.322914
20.736718	97.208868
20.761732	97.094821
20.786747	96.980775
20.811761	96.866729
20.836775	96.752682
20.861789	96.619198
20.886803	96.473558
20.911817	96.327919
20.936831	96.182279
20.961846	96.036640
20.986860	95.891001
21.011874	95.745361
21.036888	95.599722
21.061902	95.454082
21.086916	95.308443
21.111930	95.164588
21.136944	95.021824
21.161959	94.879060
21.186973	94.736296
21.211987	94.593531
21.237001	94.450767
21.262015	94.308003
21.287029	94.165238
21.312043	94.022474
21.337058	93.879710
21.362072	93.760336
21.387086	93.654904
21.412100	93.549472
21.437114	93.444039
21.462128	93.338607
21.487142	93.233175
21.512157	93.127743
21.537171	93.022310
21.562185	92.916878
21.587199	92.811446
21.612213	92.704717
21.637227	92.597235
21.662241	92.489752
21.687255	92.382269
21.712270	92.274786
21.737284	92.167304
21.762298	92.059821
21.787312	91.952338
21.812326	91.844856
21.837340	91.737373
21.862354	91.604244
21.887369	91.456554
21.912383	91.308864
21.937397	91.161174
21.962411	91.013484
21.987425	90.865794
22.012439	90.718104
22.037453	90.570414
22.062467	90.422724
22.087482	90.275034
22.112496	90.127086
22.137510	89.978995
22.162524	89.830905
22.187538	89.682814
22.212552	89.534723
22.237566	89.386632
22.262581	89.238541
22.287595	89.090450
22.312609	88.942359
22.337623	88.794269
22.362637	88.672271
22.387651	88.564376
22.412665	88.456481
22.437680	88.348586
22.462694	88.240691
22.487708	88.132796
22.512722	88.024900
22.537736	87.917005
22.562750	87.809110
22.587764	87.701215
22.612778	87.597618
22.637793	87.496287
22.662807	87.394955
22.687821	87.293624
22.712835	87.192293
22.737849	87.090961
22.762863	86.989630
22.787877	86.888299
22.812892	86.786967
22.837906	86.685636
22.862920	86.565882
22.887934	86.436658
22.912948	86.307433
22.937962	86.178209
22.962976	86.048985
22.987991	85.919760
23.013005	85.790536
23.038019	85.661311
23.063033	85.532087
23.088047	85.402863
23.113061	85.274729
23.138075	85.147143
23.163089	85.019557
23.188104	84.891970
23.213118	84.764384
23.238132	84.636798
23.263146	84.509211
23.288160	84.381625
23.313174	84.254039
23.338188	84.126452
23.363203	84.021190
23.388217	83.926834
23.413231	83.832479
23.438245	83.738124
23.463259	83.643769
23.488273	83.549413
23.513287	83.455058
23.538301	83.360703
23.563316	83.266348
23.588330	83.171992
23.613344	83.076807
23.638358	82.981226
23.663372	82.885645
23.688386	82.790064
23.713400	82.694483
23.738415	82.598902
23.763429	82.503321
23.788443	82.407740
23.813457	82.312160
23.838471	82.216579
23.863485	82.096335
23.888499	81.964648
23.913514	81.832960
23.938528	81.701273
23.963542	81.569586
