Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 12:08:38
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
25.964673	139.477544
25.989687	139.275213
26.014701	139.071141
26.039715	138.867069
26.064729	138.662998
26.089743	138.458926
26.114757	138.254854
26.139772	138.050783
26.164786	137.846711
26.189800	137.642639
26.214814	137.438568
26.239828	137.242843
26.264842	137.050100
26.289856	136.857357
26.314871	136.664615
26.339885	136.471872
26.364899	136.279129
26.389913	136.086387
26.414927	135.893644
26.439941	135.700902
26.464955	135.508159
26.489969	135.309404
26.514984	135.108562
26.539998	134.907721
26.565012	134.706880
26.590026	134.506038
26.615040	134.305197
26.640054	134.104356
26.665068	133.903514
26.690083	133.702673
26.715097	133.501832
26.740111	133.310682
26.765125	133.122796
26.790139	132.934910
26.815153	132.747025
26.840167	132.559139
26.865181	132.371253
26.890196	132.183367
26.915210	131.995482
26.940224	131.807596
26.965238	131.619710
26.990252	131.426947
27.015266	131.232589
27.040280	131.038231
27.065295	130.843873
27.090309	130.649515
27.115323	130.455158
27.140337	130.260800
27.165351	130.066442
27.190365	129.872084
27.215379	129.677726
27.240394	129.490745
27.265408	129.306101
27.290422	129.121457
27.315436	128.936813
27.340450	128.752169
27.365464	128.567525
27.390478	128.382881
27.415492	128.198237
27.440507	128.013593
27.465521	127.828950
27.490535	127.638110
27.515549	127.445367
27.540563	127.252625
27.565577	127.059882
27.590591	126.867140
27.615606	126.674397
27.640620	126.481654
27.665634	126.288912
27.690648	126.096169
27.715662	125.903426
27.740676	125.719414
27.765690	125.538001
27.790705	125.356587
27.815719	125.175174
27.840733	124.993760
27.865747	124.812346
27.890761	124.630933
27.915775	124.449519
27.940789	124.268106
27.965803	124.086692
27.990818	123.901517
28.015832	123.715258
28.040846	123.528999
28.065860	123.342740
28.090874	123.156481
28.115888	122.970221
28.140902	122.783962
28.165917	122.597703
28.190931	122.411444
28.215945	122.225185
28.240959	122.047785
28.265973	121.872855
28.290987	121.697925
28.316001	121.522995
28.341015	121.348065
28.366030	121.173135
28.391044	120.998205
28.416058	120.823275
28.441072	120.648345
28.466086	120.473415
28.491100	120.293387
28.516114	120.111985
28.541129	119.930583
28.566143	119.749181
28.591157	119.567778
28.616171	119.386376
28.641185	119.204974
28.666199	119.023572
28.691213	118.842170
28.716228	118.660768
28.741242	118.490933
28.766256	118.324113
28.791270	118.157293
28.816284	117.990473
28.841298	117.823654
28.866312	117.656834
28.891326	117.490014
28.916341	117.323194
28.941355	117.156374
28.966369	116.989554
28.991383	116.817546
29.016397	116.644231
29.041411	116.470916
29.066425	116.297601
29.091440	116.124286
29.116454	115.950971
29.141468	115.777656
29.166482	115.604341
29.191496	115.431026
29.216510	115.257712
29.241524	115.060951
29.266539	114.858494
29.291553	114.656037
29.316567	114.453581
29.341581	114.251124
29.366595	114.048668
29.391609	113.846211
29.416623	113.643755
29.441637	113.441298
29.466652	113.238842
29.491666	112.993080
29.516680	112.737174
29.541694	112.481269
29.566708	112.225363
29.591722	111.969457
29.616736	111.713551
29.641751	111.457645
29.666765	111.201740
29.691779	110.945834
29.716793	110.689928
29.741807	106.570129
29.766821	101.578259
29.791835	96.586390
29.816849	91.594521
29.841864	86.602651
29.866878	81.610782
29.891892	76.618912
