0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
54,79,79.3,87.6,87.7,90.8,91,93.2,93.5,95.7,95.5,99.6,99.5,103.4,103.7,189.5,189.7,209.1,208.7,216.7,216,222.9,222.6,227.8,228.1,236.2,235.9,243.8,243.8,73.6,73.7,88.7,88.7,93.1,93,95.7,95.6,97.7,97.4,100.9,100.9,104.6,104.4,318.1,317.6,376.2,375.8,392.4,392.1,400.9,400.5,406.8,407.6,415.3,415.6,423.5,423.3
55,78.8,78.6,87.3,87.1,90.3,90.4,93,92.9,95.2,95,99,98.9,103,103,188.3,188.5,207.7,207.5,214.9,215,221.3,221,226.5,226.6,234.2,234.5,242.4,242.7,73.3,73.3,88.3,88.1,92.7,92.6,95,95.1,97,97.1,100.4,100.5,104.2,104,315.9,316,373.6,373.6,390.2,389.6,398.2,398.4,404.6,405.4,413.3,413.1,421.3,421.2
56,78.1,77.9,86.6,86.5,89.9,89.8,92.2,92.3,94.6,94.5,98.4,98.3,102.5,102.4,186.8,187.2,206.3,206.2,213.5,213.7,219.7,219.5,224.9,225.2,233.4,233.1,241.4,241.5,72.9,72.9,87.8,87.6,92.3,92.2,94.5,94.5,96.7,96.7,100.2,100.1,103.6,103.6,314.4,314.4,371.3,371.4,387.7,387.2,396.3,396.4,402.3,403.1,411.2,410.7,419.2,419.1
57,77.6,77.5,85.9,85.9,89.2,89.1,91.8,91.8,94.1,93.9,98,97.7,101.9,101.9,185.7,185.5,204.6,204.7,212.3,211.9,218.1,217.9,223.7,223.9,231.8,231.7,240.1,239.9,72.5,72.5,87.3,87.2,91.7,91.8,94.4,94.1,96.3,96.3,99.5,99.5,103.2,103.2,312.3,312.2,369,369.2,385.4,385.3,394.3,394.2,400.4,400.5,408.9,408.9,417.9,417.4
58,76.8,77.1,85.3,85.2,88.5,88.5,91.2,91.3,93.6,93.4,97.3,97.3,101.4,101.5,183.9,183.9,203.2,203.3,210.6,210.2,216.9,216.4,222.3,222.5,230.2,230.3,238.6,238.4,72,72.1,86.8,86.7,91.1,91.3,93.8,93.6,95.8,95.8,99.2,99,102.6,102.8,310.4,310.1,367.2,367,383.3,383.4,391.8,392,398.3,398,407.1,406.9,415.8,415.6
59,76.4,76.5,84.9,84.8,88.1,88,90.6,90.7,92.9,93,97,96.8,101,101,183,182.9,201.6,201.9,209.1,208.7,215.5,215.1,221,220.9,229.2,228.7,237.6,237.1,71.7,71.7,86.4,86.1,90.7,90.9,93.4,93.3,95.4,95.3,98.5,98.6,102.3,102.3,308.5,308.1,365,364.9,381.2,381.1,389.6,390.1,396,396,405.1,404.7,413.4,413.7
60,,75.9,,84.4,,87.5,,90.2,,92.6,,96.4,,100.5,,181.8,,200.4,,207.2,,213.7,,219.4,,227.1,,235.9,,71.2,,85.7,,90.4,,92.8,,94.9,,98.2,,101.9,,306.1,,362.8,,378.9,,388.1,,394,,402.6,,411.8
61,,75.5,,83.8,,86.9,,89.6,,91.9,,95.7,,99.9,,180.6,,198.9,,205.9,,212.1,,218.1,,225.7,,234.6,,70.7,,85.5,,89.9,,92.3,,94.4,,97.7,,101.5,,304.4,,360.7,,376.7,,385.8,,392.1,,400.8,,410.1
62,,75,,83.2,,86.4,,89,,91.3,,95.1,,99.3,,179.3,,197.4,,204.5,,210.5,,216.6,,224.4,,233.4,,70.3,,85.2,,89.4,,91.8,,93.9,,97.3,,101.1,,302.7,,358.6,,374.6,,383.5,,390,,398.9,,408.3
63,,74.5,,82.7,,85.9,,88.4,,90.8,,94.9,,98.9,,177.8,,195.9,,202.8,,209.1,,215,,223.3,,232.2,,69.9,,84.5,,89,,91.5,,93.4,,96.9,,100.7,,300.8,,356.5,,372.5,,381.5,,387.5,,396.9,,406.2
64,,73.9,,82.2,,85.4,,87.8,,90.3,,94.6,,98.4,,176.3,,194.4,,201.2,,207.7,,213.4,,222.1,,231,,69.6,,83.8,,88.5,,91.1,,92.9,,96.6,,100.2,,298.9,,354.5,,370.3,,379.4,,385.1,,394.9,,404.1
65,,73.5,,81.5,,84.8,,87.3,,89.8,,93.9,,97.9,,174.8,,193.2,,200,,206.3,,212.1,,220.5,,229.6,,69.2,,83.4,,88,,90.6,,92.6,,96.2,,99.7,,297.1,,352.4,,368.5,,377.4,,383.4,,392.8,,402
66,,73,,80.9,,84.2,,86.9,,89.2,,93.3,,97.3,,173.4,,191.9,,198.9,,205,,210.8,,219,,228.3,,68.8,,83,,87.5,,90.1,,92.2,,95.8,,99.2,,295.4,,350.3,,366.5,,375.3,,381.6,,390.7,,400
67,,72.4,,80.4,,83.6,,86.4,,88.7,,92.7,,96.8,,172.1,,190.4,,197.7,,203.6,,209.5,,218.2,,227.1,,68.4,,82.7,,86.9,,89.6,,91.8,,95.3,,98.8,,293.5,,348,,364.1,,373.2,,379.7,,388.9,,398.5
68,,71.9,,80,,83.1,,85.9,,88.1,,92.1,,96.3,,170.9,,189,,196.5,,202.3,,208.1,,217.2,,226,,68,,82.2,,86.4,,89.2,,91.3,,94.8,,98.4,,291.7,,345.7,,361.9,,371.1,,377.8,,387.1,,396.9
69,,71.6,,79.5,,82.8,,85.2,,87.7,,91.7,,95.8,,169.5,,187.9,,194.8,,201.2,,207,,215.5,,224.7,,67.7,,81.8,,86.1,,88.7,,91,,94.3,,97.8,,290,,343.6,,360,,368.9,,375.4,,385.1,,394.1
